,Characters,Cat,Pinyin,Meaning
0,器械,Cat 1 (Tech & Electronics) Work,qìxiè,instrument
1,注意力差,Cat 1 (Tech & Electronics) Work,zhùyìlìchà,Worse
2,技能,Cat 1 (Tech & Electronics) Work,jìnéng,Skill
3,海运,Cat 1 (Tech & Electronics) Work,hǎiyùn,Shipping
4,我是电脑程序方面的专家,Cat 1 (Tech & Electronics) Work,wǒshìdiànnǎochéngxùfāngmiàndezhuānjiā,I am an expert in computer program
5,过程中,Cat 1 (Tech & Electronics) Work,guòchéngzhōng,In the process
6,开发,Cat 1 (Tech & Electronics) Work,kāifā,Develop
7,发展,Cat 1 (Tech & Electronics) Work,fāzhǎn,develop
8,非技术性的,Cat 1 (Tech & Electronics) Work,fēijìzhúxìngde,Non -technical
9,才能,Cat 1 (Tech & Electronics) Work,cáinéng,Talent
10,程序员,Cat 1 (Tech & Electronics) Work,chéngxùyuán,programmer
11,工程师,Cat 1 (Tech & Electronics) Work,gōngchéngshī,engineer
12,过程,Cat 1 (Tech & Electronics) Work,guòchéng,process
13,创业,Cat 1 (Tech & Electronics) Work,chuàngyè,Entrepreneurship
14,导航,Cat 1 (Tech & Electronics) Work,dǎoháng,navigation
15,心流状态,Cat 1 (Tech & Electronics) Work,xīnlíuzhuàngtài,State of mind
16,信号,Cat 1 (Tech & Electronics) Work,xìnhào,Signal
17,产生,Cat 1 (Tech & Electronics) Work,chǎnshēng,produce
18,经历,Cat 1 (Tech & Electronics) Work,jīnglì,experience
19,数据分析师,Cat 1 (Tech & Electronics) Work,shùjùfēnxīshī,Data Analyst
20,数据分析,Cat 1 (Tech & Electronics) Work,shùjùfēnxī,data analysis
21,职业方向,Cat 1 (Tech & Electronics) Work,zhíyèfāngxiàng,Career
22,意识到,Cat 1 (Tech & Electronics) Work,yìshìdào,Awareness and focus
23,工作狂,Cat 1 (Tech & Electronics) Work,gōngzuòkuáng,Workaholic
24,一份工作,Cat 1 (Tech & Electronics) Work,yīfèngōngzuò,a job
25,创业公司,Cat 1 (Tech & Electronics) Work,chuàngyègōngsī,Start-up companies
26,解雇,Cat 1 (Tech & Electronics) Work,jiěgù,Dismiss
27,线上办公,Cat 1 (Tech & Electronics) Work,xiànshàngbàngōng,Work remote
28,任意,Cat 1 (Tech & Electronics) Work,rènyì,Arbitrarily
29,重复,Cat 1 (Tech & Electronics) Work,zhòngfù,repeat
30,假设,Cat 1 (Tech & Electronics) Work,jiǎshè,Assume assumption
31,分享,Cat 1 (Tech & Electronics) Work,fēnxiǎng,share
32,过滤,Cat 1 (Tech & Electronics) Work,guòlv̀,filter
33,列表,Cat 1 (Tech & Electronics) Work,lièbiǎo,List
34,力量,Cat 1 (Tech & Electronics) Work,lìliàng,strength
35,经验,Cat 1 (Tech & Electronics) Work,jīngyàn,experience
36,数量,Cat 1 (Tech & Electronics) Work,shùliàng,quantity
37,状态,Cat 1 (Tech & Electronics) Work,zhuàngtài,state condition
38,任务,Cat 1 (Tech & Electronics) Work,rènwù,Task
39,市场,Cat 1 (Tech & Electronics) Work,shìcháng,market
40,店面,Cat 1 (Tech & Electronics) Work,diànmiàn,Storefront
41,电汇,Cat 1 (Tech & Electronics) Work,diànhùi,wire transfer
42,我需要把我的人民币换成美元打到美国的银行卡上,Cat 1 (Tech & Electronics) Work,wǒxūyàobǎwǒderénmínbìhuànchéngměiyuándǎdàoměiguódeyínxíngqiǎshàng,I need to replace my RMB to the US dollar to the US bank card
43,分行,Cat 1 (Tech & Electronics) Work,fēnxíng,Branch
44,元宇宙,Cat 1 (Tech & Electronics) Work,yuányǔzhòu,Metaverse
45,政策,Cat 1 (Tech & Electronics) Work,zhèngcè,policy
46,模型,Cat 1 (Tech & Electronics) Work,móxíng,Model
47,执行,Cat 1 (Tech & Electronics) Work,zhíxíng,implement
48,动力,Cat 1 (Tech & Electronics) Work,dònglì,power (movement)
49,优点,Cat 1 (Tech & Electronics) Work,yōudiǎn,advantage
50,取代,Cat 1 (Tech & Electronics) Work,qǔdài,replace
51,设备,Cat 1 (Tech & Electronics) Work,shèbèi,equipment
52,网格,Cat 1 (Tech & Electronics) Work,wǎnggé,grid
53,订单,Cat 1 (Tech & Electronics) Work,dìngdān,Order
54,必需品,Cat 1 (Tech & Electronics) Work,bìxūpǐn,necessity
55,预测,Cat 1 (Tech & Electronics) Work,yùcè,predict
56,尝试,Cat 1 (Tech & Electronics) Work,chángshì,try
57,加入,Cat 1 (Tech & Electronics) Work,jiārù,join in
58,研发成本,Cat 1 (Tech & Electronics) Work,yánfāchéngběn,R & D cost
59,化学成分,Cat 1 (Tech & Electronics) Work,huàxuéchéngfēn,chemical composition
60,理科,Cat 1 (Tech & Electronics) Work,lǐkē,science
61,炸药,Cat 1 (Tech & Electronics) Work,zhàyào,Explosive
62,反应,Cat 1 (Tech & Electronics) Work,fǎnyìng,reaction
63,相关的话题,"Cat 2 (Culture, Manners, Business ) Culture",xiāngguāndehuàtí,Related topics
64,收垃圾的,"Cat 2 (Culture, Manners, Business ) Culture",shōulājíde,Garbage collection
65,这个菜尝起来很奇怪,"Cat 2 (Culture, Manners, Business ) Culture",zhègècàichángqǐláihěnqíguài,This dish tastes strange
66,听起来好像有小偷,"Cat 2 (Culture, Manners, Business ) Culture",tīngqǐláihǎoxiàngyǒuxiǎotōu,It sounds like a thief
67,她的歌声听起来像天使一样,"Cat 2 (Culture, Manners, Business ) Culture",tādegēshēngtīngqǐláixiàngtiānshǐyīyáng,Her singing sounds like an angel
68,茶和咖啡在功能上是相似的,"Cat 2 (Culture, Manners, Business ) Culture",cháhékāfēizàigōngnéngshàngshìxiāngsìde,Tea and coffee are similar in function
69,尝起来,"Cat 2 (Culture, Manners, Business ) Culture",chángqǐlái,taste like
70,小偷偷我的自行车,"Cat 2 (Culture, Manners, Business ) Culture",xiǎotōutōuwǒdezìxíngchē,Thieves secretly my bicycle
71,弹钢琴,"Cat 2 (Culture, Manners, Business ) Culture",dàngāngqín,play piano
72,歌声,"Cat 2 (Culture, Manners, Business ) Culture",gēshēng,singing
73,运输站,"Cat 2 (Culture, Manners, Business ) Culture",yùnshūzhàn,Transportation station
74,港口,"Cat 2 (Culture, Manners, Business ) Culture",gǎngkǒu,port
75,行李箱,"Cat 2 (Culture, Manners, Business ) Culture",xínglǐxiāng,suitcase
76,这位医生是心脏方面的专家,"Cat 2 (Culture, Manners, Business ) Culture",zhèwèiyìshēngshìxīnzāngfāngmiàndezhuānjiā,This doctor is a heart expert
77,回礼,"Cat 2 (Culture, Manners, Business ) Culture",húilǐ,Return salute
78,中国人讲究喝茶,"Cat 2 (Culture, Manners, Business ) Culture",zhōngguórénjiǎngjīuhēchá,Chinese people pay attention to tea
79,具备,"Cat 2 (Culture, Manners, Business ) Culture",jùbèi,have
80,任人,"Cat 2 (Culture, Manners, Business ) Culture",rènrén,Apparent
81,悠久的历史,"Cat 2 (Culture, Manners, Business ) Culture",yōujǐudelìshǐ,a long history
82,缘分,"Cat 2 (Culture, Manners, Business ) Culture",yuánfēn,fate
83,土地,"Cat 2 (Culture, Manners, Business ) Culture",tǔdì,land
84,收入,"Cat 2 (Culture, Manners, Business ) Culture",shōurù,income
85,职位,"Cat 2 (Culture, Manners, Business ) Culture",zhíwèi,Position
86,长远,"Cat 2 (Culture, Manners, Business ) Culture",chángyuǎn,long
87,青少年,"Cat 2 (Culture, Manners, Business ) Culture",qīngshǎonián,teenager
88,青年旅社,"Cat 2 (Culture, Manners, Business ) Culture",qīngniánlv̌shè,Youth Hotel
89,手眼协调,"Cat 2 (Culture, Manners, Business ) Culture",shǒuyǎnxiédiào,Hand -eye coordination
90,即兴演讲,"Cat 2 (Culture, Manners, Business ) Culture",jíxīngyǎnjiǎng,talk show
91,集中,"Cat 2 (Culture, Manners, Business ) Culture",jízhōng,concentrated
92,路症,"Cat 2 (Culture, Manners, Business ) Culture",lùzhèng,Path
93,绕过,"Cat 2 (Culture, Manners, Business ) Culture",ràoguò,Bypassed
94,车道,"Cat 2 (Culture, Manners, Business ) Culture",chēdào,Lane
95,停车的位置,"Cat 2 (Culture, Manners, Business ) Culture",tíngchēdewèizhì,Parking position
96,搞人际关系,"Cat 2 (Culture, Manners, Business ) Culture",gǎorénjìguānxì,Interpersonal relationship
97,人际关系,"Cat 2 (Culture, Manners, Business ) Culture",rénjìguānxì,Interpersonal relationship
98,企业文化,"Cat 2 (Culture, Manners, Business ) Culture",qǐyèwénhuà,company culture
99,研究生,"Cat 2 (Culture, Manners, Business ) Culture",yánjīushēng,postgraduate
100,美术馆,"Cat 2 (Culture, Manners, Business ) Culture",měizhúguǎn,Art gallery
101,升职,"Cat 2 (Culture, Manners, Business ) Culture",shēngzhí,Promotion
102,裁员,"Cat 2 (Culture, Manners, Business ) Culture",cáiyuán,Lay off
103,一模一样,"Cat 2 (Culture, Manners, Business ) Culture",yīmóyīyáng,Exactly the same
104,思维导图,"Cat 2 (Culture, Manners, Business ) Culture",sīwéidǎotú,mind Mapping
105,打交道,"Cat 2 (Culture, Manners, Business ) Culture",dǎjiāodào,Deal
106,土匪,"Cat 2 (Culture, Manners, Business ) Culture",tǔfěi,bandit
107,谦虚,"Cat 2 (Culture, Manners, Business ) Culture",qiānxū,modesty
108,质量,"Cat 2 (Culture, Manners, Business ) Culture",zhíliàng,quality
109,企业文化,"Cat 2 (Culture, Manners, Business ) Culture",qǐyèwénhuà,company culture
110,讨好,"Cat 2 (Culture, Manners, Business ) Culture",tǎohǎo,Please
111,保守,"Cat 2 (Culture, Manners, Business ) Culture",bǎoshǒu,keep
112,调情,"Cat 2 (Culture, Manners, Business ) Culture",diàoqíng,flirt
113,策略,"Cat 2 (Culture, Manners, Business ) Culture",cèlvè,Strategy
114,基金,"Cat 2 (Culture, Manners, Business ) Culture",jījīn,fund
115,新兴产业,"Cat 2 (Culture, Manners, Business ) Culture",xīnxīngchǎnyè,Emerging industry
116,行业,"Cat 2 (Culture, Manners, Business ) Culture",xíngyè,industry
117,风险,"Cat 2 (Culture, Manners, Business ) Culture",fēngxiǎn,risk
118,交易策略,"Cat 2 (Culture, Manners, Business ) Culture",jiāoyìcèlvè,Trading straregy
119,长期投资,"Cat 2 (Culture, Manners, Business ) Culture",chángqītóuzī,Long-term investment
120,储蓄,"Cat 2 (Culture, Manners, Business ) Culture",chǔxù,Savings
121,理财投资,"Cat 2 (Culture, Manners, Business ) Culture",lǐcáitóuzī,Financial investment
122,股票,"Cat 2 (Culture, Manners, Business ) Culture",gǔpiào,stock
123,打钱,"Cat 2 (Culture, Manners, Business ) Culture",dǎqián,Make money
124,违反,"Cat 2 (Culture, Manners, Business ) Culture",wéifǎn,violation
125,模仿,"Cat 2 (Culture, Manners, Business ) Culture",mófǎng,imitate
126,鲨鱼,"Cat 2 (Culture, Manners, Business ) Culture",shāyú,shark
