,Simplified,Date,Pinyin_x,Meaning,HSK_x,Traditional,English,Example Pinyin,Character Phrase,Example Explanation
0,语言,2022 10 29,yǔyán,language,4,語言,language,bié shǐyòng zhèyàng de cūsú de yǔyán,,也就是说，不要使用这种粗俗的语言。
1,官方,2022 10 29,guānfāng,official,6,官方,"government, official (approved or issued by an authority)",zhè xiāoxi shì guānfāng fābù de ma,,也就是问，新闻是官方的吗？
2,反应,2022 10 29,fǎnyìng,reaction,5,反應,to react; response,tā de fǎnyìng shì bèidòng de,,His reaction was passive.
3,反应,2022 10 29,fǎnyìng,reaction,5,反應,"to respond, to react",wǒ gěi nǐ liǎng fēnzhōng de shíjiān zuòchū fǎnyìng,,也就是说，我给你两分钟时间回复。
4,反应,2022 7 22,fǎnyìng,reaction,5,反應,to react; response,tā de fǎnyìng shì bèidòng de,,His reaction was passive.
5,反应,2022 7 22,fǎnyìng,reaction,5,反應,"to respond, to react",wǒ gěi nǐ liǎng fēnzhōng de shíjiān zuòchū fǎnyìng,,也就是说，我给你两分钟时间回复。
6,方言,2022 10 29,fāngyán,dialect,6,方言,dialect,,,
7,方言,2022 10 29,fāngyán,dialect,6,方言,dialect,tā shuō de shì yīzhǒng wúfǎ tīngdedǒng de fāngyán,,也就是说，他说的是一种听不懂的白话。
8,勉强,2022 10 29,miǎnqiáng,reluctantly,6,勉強,"to do with difficulty, to force sb to do sth, reluctant, barely enough",tāmen miǎnqiǎng tóngyì le wǒmen de tíyì,,也就是说，他们默许了我们的建议。
9,直接,2022 10 29,zhíjiē,direct,4,直接,"direct, straight",zhè suǒ dàxué yóu shěng zhíjiē guǎn,,也就是说，这所大学是该省的直属大学。
10,典型,2022 10 29,diǎnxíng,typical,6,典型,"model, typical case, archetype, typical, representative",jīnwǎn wǒ zuò le diǎnxíng de Yīngguó cài,,也就是说，今天晚上我做了一道典型的英国菜。
11,典型,2022 10 9,diǎnxíng,typical,6,典型,"model, typical case, archetype, typical, representative",jīnwǎn wǒ zuò le diǎnxíng de Yīngguó cài,,也就是说，今天晚上我做了一道典型的英国菜。
12,打交道,2022 10 29,dǎjiāodào,Deal,5,打交道,to make contact with,bùyào hé nàgèrén dǎjiāodào,,也就是说，别跟那个家伙打交道。
13,打交道,2022 6 29,dǎjiāodào,Deal,5,打交道,to make contact with,bùyào hé nàgèrén dǎjiāodào,,也就是说，别跟那个家伙打交道。
14,外向,2022 10 29,wàixiàng,Exterior,6,外向,"extroverted (personality), (economics etc) export-oriented",nǐ gèxìng nèixiàng háishi wàixiàng,,也就是问，你是内向的还是外向的？
15,观点,2022 10 29,guāndiǎn,View,5,觀點,"idea, opinion",wǒ jiàn guò xǔduō hé nǐ guāndiǎn yīzhì de rén,,也就是说，我见过许多人同意你的观点。
16,成绩,2022 10 29,chéngjī,score,3,成績,grade (academic performance),wǒ bēitàn zìjǐ de làn chéngjì,,也就是说，我为我的不好成绩而悲伤。
17,表达,2022 10 29,biǎodá,Express,5,表達,"to express, to voice",wǒ de yōushāng wúfǎ yòng yǔyán biǎodá,,也就是说，没有言语能表达我的悲伤。
18,证据,2022 10 29,zhèngjù,evidence,5,證據,"proof, evidence",tā duì cǐ yǒu jìnyībù de zhèngjù,,也就是说，他有进一步的证据。
19,航空,2022 10 15,hángkōng,aviation,6,航空,aviation,dǎodàn shì cóng hángkōngmǔjiàn shàng fāshè de,,The missile was launched from the aircraft carrier.
20,产业,2022 10 15,chǎnyè,industry,6,產業,"industry, estate, property, industrial",tā jìchéng le yī fèn chǎnyè,,也就是说，她继承了遗产。
21,领导,2022 10 15,lǐngdǎo,lead,5,領導,leader,tā shì wǒmen de zhòngyào lǐngdǎorén,,也就是说，他是我们最重要的领导人。
22,证书,2022 10 15,zhèngshū,Certificate,6,證書,"credentials, certificate",shānghán miǎnyì zhèngshū,,也就是“斑疹伤寒免疫证书”。
23,风格,2022 10 15,fēnggé,style,5,風格,"style, manner",wǒ xǐhuan de shì tā de fēnggé,,也就是说，我喜欢她的风格。
24,属于,2022 10 15,shǔyú,belong,5,屬於,to belong to,wǒ bù shǔyú zhèlǐ,,I don't belong here.
25,首都,2022 10 15,shǒudū,capital,4,首都,capital (of a country),shǒudū wèiyú hépàn,,也就是说，首都位于河边。
26,新闻,2022 10 15,xīnwén,news,3,新聞,news,tóubǎn xīnwén,,也就是“首页新闻”。
27,舅舅,2022 10 9,jìujìu,uncle,5,舅舅,"uncle, mother’s brother",wǒ jiùjiu de jiǔliàng hěn dà,,也就是说，我叔叔喝了很多酒。
28,硕士,2022 10 9,shuòshì,master,4,碩士,holder of master’s degree,shuòshì lùnwén,,也就是“权威论文”。
29,校长,2022 10 9,xiàocháng,headmaster,3,校長,"school principal, headmaster",xiàozhǎng xuāndú yōuxiù shēng míngdān,,也就是说，校长宣读了荣誉名单。
30,症状,2022 10 9,zhèngzhuàng,symptom,6,症狀,symptom (of an illness),zhèzhǒng zhèngzhuàng yǒukěnéng fùfā,,也就是说，症状往往会复发。
31,症状,2022 7 15,zhèngzhuàng,symptom,6,症狀,symptom (of an illness),zhèzhǒng zhèngzhuàng yǒukěnéng fùfā,,也就是说，症状往往会复发。
32,症状,2022 6 29,zhèngzhuàng,symptom,6,症狀,symptom (of an illness),zhèzhǒng zhèngzhuàng yǒukěnéng fùfā,,也就是说，症状往往会复发。
33,退步,2022 10 9,tùibù,Retreat,5,退步,to regress,tā sīxiǎng tuìbù le,,也就是说，他在思想上退缩了。
34,馅儿,2022 10 9,xiànér,stuffing,6,餡兒,"filling, stuffing",wǒ xǐhuan niúròu xiànr de Mòxīgē juǎnbǐng,,也就是说，我喜欢牛肉馅的玉米煎饼。
35,月饼,2022 10 9,yuèbǐng,moon cake,outside,月餅,mooncake (esp. for the Mid-Autumn Festival),,,
36,过期,2022 10 9,guòqī,Expired,5,過期,overdue,guòqī de zhàngdān,,也就是“逾期的比尔”。
37,报告,2022 9 2,bàogào,Report,5,報告,report,zài tǎolùn hòu nà bàogào dé dàoliǎo fābiǎo,,也就是说，经过讨论，报告发表了。
38,未来,2022 9 2,wèilái,future,5,未來,future,tā duì wèilái chōngmǎn xìnxīn,,He felt confident in the future.
39,区别,2022 9 2,qūbié,the difference,4,區別,"difference , distinction",tā xiǎnrán fēnbiàn bù chū Yìndù qǔzi hé juéshìyuè de qūbié,,意思是说，很明显，它分不清印度音乐和爵士乐的区别！
40,汇率,2022 9 1,hùilv̀,exchange rate,5,匯率,exchange rate,jīnrì huìlǜ rúhé,,也就是问，今天的兑换是什么？
41,汇率,2022 7 13,hùilv̀,exchange rate,5,匯率,exchange rate,jīnrì huìlǜ rúhé,,也就是问，今天的兑换是什么？
42,粗糙,2022 8 31,cūcāo,Rough,5,粗糙,"rough, crude",zhè běn shū yòng cūcāo de huáng zhǐ yìnshuā,,也就是说，这本书是用粗糙的黄纸印刷的。
43,拥挤,2022 8 31,yǒngjǐ,Crowded,5,擁擠,"crowded, congested",wǒ yīn jiāotōngyōngjǐ ér chídào,,也就是说，因为交通拥挤，我迟到了。
44,行李箱,2022 8 31,xínglǐxiāng,suitcase,3,行李箱,luggage,qǐng nǐ bǎ xínglixiāng dǎkāi,,也就是说，我帮你托运行李。
45,记录,2022 8 31,jìlù,Record,5,記錄,"record, note; to record",tā de fāyán wǒ dōu jìlù xiàlai le,,也就是说，我记下了他说的话。
