,Unnamed: 0,Vocab,Date,Pinyin,Meaning
0,0,转一转,2022 10 29,zhuǎnyīzhuǎn,Take a turn
1,1,语言,2022 10 29,yǔyán,language
2,2,官方,2022 10 29,guānfāng,official
3,3,马来语,2022 10 29,mǎláiyǔ,Malay
4,4,泰米尔语,2022 10 29,tàimǐěryǔ,Tamil
5,5,反应,2022 10 29,fǎnyìng,reaction
6,6,方言,2022 10 29,fāngyán,dialect
7,7,我有衣服只能干洗,2022 10 29,wǒyǒuyīfúzhǐnénggānxǐ,I have clothes and can only dry dry
8,8,再试一次,2022 10 29,zàishìyīcì,try again
9,9,物价,2022 10 29,wùjià,Price
10,10,勉强,2022 10 29,miǎnqiáng,reluctantly
11,11,如果你不想上课就不要勉强,2022 10 29,rúguǒnǐbùxiǎngshàngkèjìubùyàomiǎnqiáng,Don't force it if you don't want to go to class
12,12,含蓄,2022 10 29,hánxù,implicit
13,13,直接,2022 10 29,zhíjiē,direct
14,14,典型,2022 10 29,diǎnxíng,typical
15,15,表情包,2022 10 29,biǎoqíngbāo,Emoji
16,16,打交道,2022 10 29,dǎjiāodào,Deal
17,17,和日本人打交道,2022 10 29,hérìběnréndǎjiāodào,Talk to the Japanese
18,18,外向,2022 10 29,wàixiàng,Exterior
19,19,内向,2022 10 29,nèixiàng,Introverted
20,20,观点,2022 10 29,guāndiǎn,View
21,21,升职,2022 10 29,shēngzhí,Promotion
22,22,成绩,2022 10 29,chéngjī,score
23,23,表达,2022 10 29,biǎodá,Express
24,24,理性的,2022 10 29,lǐxìngde,rational
25,25,感性的,2022 10 29,gǎnxìngde,Sensual
26,26,证据,2022 10 29,zhèngjù,evidence
27,27,肢体语言,2022 10 29,zhītǐyǔyán,body language
28,28,大伯爸爸的哥哥,2022 10 15,dàbóbàbàdegēgē,Uncle's father's brother
29,29,叔叔爸爸的弟弟,2022 10 15,shūshūbàbàdedìdì,Uncle and Dad's brother
30,30,航空,2022 10 15,hángkōng,aviation
