,Characters,Date,Pinyin,Meaning,cluster
0,洗涤灵,2022-07-22,xǐdílíng,Washing spirit,0
26,锅边素,2022-07-22,guōbiānsù,Pista,0
36,绿皮火车,2022-07-21,lv̀píhuǒchē,Green leather train,0
71,电饭锅,2022-07-14,diànfànguō,Rice cooker,0
193,手眼协调,2022-06-17,shǒuyǎnxiédiào,Hand -eye coordination,0
24,素食主义者,2022-07-22,sùshízhǔyìzhě,vegetarian,0
25,严格的素食主义者,2022-07-22,yángédesùshízhǔyìzhě,Strict vegetarian,0
196,睡眠,2022-06-15,shùimián,Sleep,1
58,继续,2022-07-15,jìxù,continue,1
187,观察,2022-06-17,guānchá,Observed,1
45,结束,2022-07-15,jiéshù,Finish,1
142,降温,2022-06-23,jiàngwēn,Cool down,1
88,遵守,2022-07-13,zūnshǒu,obey,1
89,违反,2022-07-13,wéifǎn,violation,1
41,邀请,2022-07-21,yāoqǐng,invite,1
74,漫画,2022-07-14,mànhuà,comics,1
218,天赋,2022-06-10,tiānfù,talent,1
16,处方,2022-07-22,chùfāng,prescription,1
73,海拔,2022-07-14,hǎibá,altitude,1
91,执行,2022-07-13,zhíxíng,implement,1
29,直播,2022-07-21,zhíbō,live streaming,1
131,逃跑,2022-06-29,táopǎo,Run away,1
147,另外,2022-06-23,lìngwài,in addition,1
47,群体免疫,2022-07-15,qúntǐmiǎnyì,Group immunity,1
40,慢热,2022-07-21,mànrè,Slow heat,1
217,才能,2022-06-10,cáinéng,Talent,1
197,失眠,2022-06-15,shīmián,Insomnia,1
12,戒烟,2022-07-22,jièyān,Quit smoking,1
202,无序,2022-06-15,wúxù,Disorderly,1
43,夏令时,2022-07-15,xiàlìngshí,summer time,1
152,兼职,2022-06-22,jiānzhí,part time,1
216,歧视,2022-06-10,qíshì,discriminate,1
139,假设,2022-06-23,jiǎshè,Assume,1
199,青少年,2022-06-15,qīngshǎonián,teenager,1
188,通常,2022-06-17,tōngcháng,usually,1
191,集中,2022-06-17,jízhōng,concentrated,1
173,沟通,2022-06-22,gōutōng,communicate,1
52,过去,2022-07-15,guòqù,past,1
229,缘分,2022-06-10,yuánfēn,fate,1
172,局外人,2022-06-22,júwàirén,outsider,1
1,整天,2022-07-22,zhěngtiān,All day,1
221,移民,2022-06-10,yímín,migrant,1
83,行为,2022-07-13,xíngwèi,Behavior,1
51,应用于,2022-07-15,yìngyòngyú,Applied,1
127,真相,2022-06-29,zhēnxiāng,the truth,1
17,执照,2022-07-22,zhízhào,license,1
141,任意,2022-06-23,rènyì,Arbitrarily,1
106,着急,2022-06-29,zháojí,in a hurry,1
66,刚需,2022-07-14,gāngxū,Just need,1
183,耐心,2022-06-17,nàixīn,patience,1
112,讨好,2022-06-29,tǎohǎo,Please,1
55,放心,2022-07-15,fàngxīn,rest assured,1
104,保守,2022-07-05,bǎoshǒu,keep,1
162,数据分析师,2022-06-22,shùjùfēnxīshī,Data Analyst,2
171,搞人际关系,2022-06-22,gǎorénjìguānxì,Interpersonal relationship,2
78,社会科学类社科类,2022-07-14,shèhùikēxuélèishèkēlèi,Social Sciences Social Sciences,2
170,人际关系,2022-06-22,rénjìguānxì,Interpersonal relationship,2
161,数据分析,2022-06-22,shùjùfēnxī,data analysis,2
215,程序员,2022-06-10,chéngxùyuán,programmer,2
75,世界名著,2022-07-14,shìjièmíngzhù,World famous,2
