,Characters,Pinyin,Meaning
0,打钱,dǎqián,Make money
1,汇率,hùilv̀,exchange rate
2,稳定,wěndìng,Stablize
3,股票,gǔpiào,stock
4,理财投资,lǐcáitóuzī,Financial investment
5,储蓄,chǔxù,Savings
6,长期投资,chángqītóuzī,Long-term investment
7,交易策略,jiāoyìcèlvè,Trading straregy
8,风险,fēngxiǎn,risk
9,行业,xíngyè,industry
10,新兴产业,xīnxīngchǎnyè,Emerging industry
11,模型,móxíng,Model
12,基金,jījīn,fund
13,政策,zhèngcè,policy
14,通货膨胀通胀,tōnghuòpéngzhàngtōngzhàng,Inflation and inflation
15,元宇宙,yuányǔzhòu,Yuan universe
16,骗局,piànjú,scam
17,利率,lìlv̀,interest rate
18,利息,lìxī,Interest
19,分行,fēnxíng,Branch
20,我需要把我的人民币换成美元打到美国的银行卡上,wǒxūyàobǎwǒderénmínbìhuànchéngměiyuándǎdàoměiguódeyínxíngqiǎshàng,I need to replace my RMB to the US dollar to the US bank card
21,电汇,diànhùi,wire transfer
22,策略,cèlvè,Strategy
23,按钮,ànnǐu,Button
24,我对他们没有信心,wǒdùitāmenméiyǒuxìnxīn,I have no confidence in them
25,我不相信他们,wǒbùxiāngxìntāmen,I don't believe them
26,我担心他们,wǒdànxīntāmen,I worry about them
27,店面,diànmiàn,Store
28,市场,shìcháng,market
29,任务,rènwù,Task
30,严格,yángé,strict
31,辩护,biànhù,defend
32,调情,diàoqíng,flirt
33,保守,bǎoshǒu,keep
34,着急,zháojí,in a hurry
35,赖床,làichuáng,Bed
36,四点半还醒着,sìdiǎnbànhuánxǐngzháo,Wake up at 4:30
37,担心,dànxīn,Worry
38,病例,bìnglì,Case
39,症状,zhèngzhuàng,symptom
40,讨好,tǎohǎo,Please
41,企业文化,qǐyèwénhuà,company culture
42,状态,zhuàngtài,state
43,质量,zhíliàng,quality
44,数量,shùliàng,quantity
45,追求精神的,zhūiqíujīngshénde,Pursuing
46,经验,jīngyàn,experience
47,分辨,fēnbiàn,Distinguish
48,谦虚,qiānxū,modesty
49,积极,jījí,positive
50,经济困难的人,jīngjìkùnnánderén,People with economic difficulties
51,污渍,wūzì,Stain
52,责备,zébèi,blame
53,力量,lìliàng,strength
54,谎话,huǎnghuà,lie
55,善意的谎话,shànyìdehuǎnghuà,Good faithful lie
56,真相,zhēnxiāng,the truth
57,诚实,chéngshí,honest
58,高级的诚实是用更高级的方式表达真相,gāojídechéngshíshìyònggènggāojídefāngshìbiǎodázhēnxiāng,High -level honesty is to express the truth in a more advanced way
59,陷阱,xiànjǐng,trap
60,逃跑,táopǎo,Run away
61,土匪,tǔfěi,bandit
62,打交道,dǎjiāodào,Deal
63,思维导图,sīwéidǎotú,mind Mapping
64,列表,lièbiǎo,List
65,过滤,guòlv̀,filter
66,思路,sīlù,Thinking
67,分享,fēnxiǎng,share
68,假设,jiǎshè,Assume
69,重复,zhòngfù,repeat
70,任意,rènyì,Arbitrarily
71,降温,jiàngwēn,Cool down
72,倒了,dǎole,fall down
73,运,yùn,transport
74,线上办公,xiànshàngbàngōng,Online office
75,一模一样,yīmóyīyáng,Exactly the same
76,另外,lìngwài,in addition
77,裁员,cáiyuán,Lay off
78,解雇,jiěgù,Dismiss
79,供给,gōnggěi,supply
80,需求,xūqíu,need
81,兼职,jiānzhí,part time
82,升职,shēngzhí,Promotion
83,创业公司,chuàngyègōngsī,Start-up companies
84,一份工作,yīfèngōngzuò,a job
85,工作狂,gōngzuòkuáng,Workaholic
86,美术馆,měizhúguǎn,Art gallery
87,展览,zhǎnlǎn,exhibition
88,意识到,yìshìdào,Aware
